출판사,학년도,학교급명,시도코드,시도명,시도교육청,지역,총판,시도교육청수식,교육첨오코드,교육청명,교육지원청,교육청명가공,교육지원청수식,학교코드,정보공시학교코드,학교명,학교명 수식,학교급,교육과정,교지명,도서코드,교과군,과목명,정가,부수,금액
씨마스,2021,고등학교,10,충청북도,충청북도교육청,충청북도 청주시 서원구,학우사,충청북도교육청,1001,청주,충청북도청주교육지원청,청주,충청북도청주교육지원청,43,S110000257,IT과학고등학교,청주IT과학고등학교,고등일반,2015,교과서,13599,교양,진로와 직업,8200,149,1221800
씨마스,2021,고등학교,10,충청북도,충청북도교육청,충청북도 청주시 서원구,학우사,충청북도교육청,1001,청주,충청북도청주교육지원청,청주,충청북도청주교육지원청,43,S110000257,IT과학고등학교,청주IT과학고등학교,고등전문,2015,교과서,15555,경영·금융,회계 원리,9840,86,846240
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 삼척시,동아도서,강원특별자치도교육청,916,삼척,강원특별자치도삼척교육지원청,삼척,강원특별자치도삼척교육지원청,1,S100000350,가곡고,가곡고등학교,고등일반,2015,교과서,13243,예술(미술),미술 감상과 비평,7500,2,15000
씨마스,2021,고등학교,9,강원특별자치도,강원특별자치도교육청,강원특별자치도 삼척시,동아도서,강원특별자치도교육청,916,삼척,강원특별자치도삼척교육지원청,삼척,강원특별자치도삼척교육지원청,1,S100000350,가곡고,가곡고등학교,고등일반,2015,지도서,13243,예술(미술),미술 감상과 비평,49000,1,49000
씨마스,2021,중학교,10,충청북도,충청북도교육청,충청북도 청주시 상당구,학우사,충청북도교육청,1001,청주,충청북도청주교육지원청,청주,충청북도청주교육지원청,37,S110000798,가덕중,가덕중학교,중학교,2015,교과서,11796,한문,한문,7800,13,101400
씨마스,2021,고등학교,1,서울특별시,서울특별시교육청,서울특별시 송파구,한백도서,서울특별시교육청,108,서울강동송파,서울특별시강동송파교육지원청,강동송파,서울특별시강동송파교육지원청,1,S010000370,가락고,가락고등학교,고등일반,2015,교과서,13243,예술(미술),미술 감상과 비평,7500,285,2137500
씨마스,2021,중학교,2,부산광역시,부산광역시교육청,부산광역시 북구,천재문화,부산광역시교육청,205,부산북부,부산광역시북부교육지원청,북부,부산광역시북부교육지원청,2,S020001203,가람중,가람중학교,중학교,2015,교과서,11796,한문,한문,7800,89,694200
씨마스,2021,고등학교,4,인천광역시,인천광역시교육청,인천광역시 서구,나일도서,인천광역시교육청,405,인천서부,인천광역시서부교육지원청,서부,인천광역시서부교육지원청,1,S040001696,가림고,가림고등학교,고등일반,2015,교과서,13102,과학,과학사,9800,115,1127000
씨마스,2021,중학교,8,경기도,경기도교육청,경기도 광명시,플러스원서적,경기도교육청,806,광명,경기도광명교육지원청,광명,경기도광명교육지원청,1,S090001188,가림중,가림중학교,중학교,2015,교과서,11644,정보,정보,7000,171,1197000
씨마스,2021,중학교,8,경기도,경기도교육청,경기도 광명시,플러스원서적,경기도교육청,806,광명,경기도광명교육지원청,광명,경기도광명교육지원청,1,S090001188,가림중,가림중학교,중학교,2015,지도서,11644,정보,정보,50000,1,50000
씨마스,2021,중학교,1,서울특별시,서울특별시교육청,서울특별시 금천구,태영도서,서울특별시교육청,103,서울남부,서울특별시남부교육지원청,남부,서울특별시남부교육지원청,1,S010001165,가산중,가산중학교,중학교,2015,교과서,11754,미술,미술 ①,6400,161,1030400
씨마스,2021,중학교,1,서울특별시,서울특별시교육청,서울특별시 금천구,태영도서,서울특별시교육청,103,서울남부,서울특별시남부교육지원청,남부,서울특별시남부교육지원청,1,S010001165,가산중,가산중학교,중학교,2015,교과서,11774,미술,미술 ②,6400,161,1030400
씨마스,2021,고등학교,2,부산광역시,부산광역시교육청,부산광역시 부산진구,한길도서,부산광역시교육청,203,부산남부,부산광역시남부교육지원청,남부,부산광역시남부교육지원청,27,S020000338,가야고,가야고등학교,고등일반,2015,교과서,13102,과학,과학사,9800,82,803600
