"school","has_neis","lat","lon","count","examples"
"대성중학교","yes","None","None","1","2025-10-29/조영환"
"선정중학교","yes","None","None","1","2025-10-29/조영환"
"상신중학교","yes","None","None","1","2025-10-29/조영환"
"증산중학교","yes","None","None","1","2025-10-29/조영환"
"연서중학교","yes","None","None","1","2025-10-29/조영환"
"영락중학교","yes","None","None","1","2025-10-29/조영환"
"숭덕여중","no","","","",""
"인천성리중학교","yes","None","None","1","2025-10-29/임준호"
"용현중학교","yes","None","None","1","2025-10-29/임준호"
"선화여자중학교","yes","None","None","1","2025-10-29/임준호"
"화도진중학교","yes","None","None","1","2025-10-29/임준호"
"압구정중학교","yes","None","None","1","2025-10-29/송훈재"
"봉은중학교","yes","None","None","1","2025-10-29/송훈재"
"휘문중학교","yes","None","None","1","2025-10-29/송훈재"
"대부중학교","yes","None","None","1","2025-10-29/송훈재"
"이목중학교","yes","None","None","1","2025-10-29/송훈재"
"수원공업고등학교","yes","None","None","1","2025-10-29/송훈재"
"남수원중학교","yes","None","None","1","2025-10-29/송훈재"
"삼일공업고등학교","yes","None","None","1","2025-10-29/송훈재"
"삼일고등학교","yes","None","None","1","2025-10-29/송훈재"
"목암중학교","yes","None","None","1","2025-10-29/임준호"
"지축중학교","yes","None","None","1","2025-10-29/임준호"
"고양중학교","yes","None","None","1","2025-10-29/임준호"
"도래울중학교","yes","None","None","1","2025-10-29/임준호"
"별가람중학교","yes","None","None","1","2025-10-29/임준호"
"언남고등학교","yes","None","None","1","2025-10-29/송훈재"
"개원중학교","yes","None","None","1","2025-10-29/송훈재"
"중동중학교","yes","None","None","1","2025-10-29/송훈재"
"대왕중학교","yes","None","None","1","2025-10-29/송훈재"
"수서중학교","yes","None","None","1","2025-10-29/송훈재"
"상하중학교","yes","None","None","1","2025-10-29/조영환"
"성남테크노과학고등학교","yes","None","None","1","2025-10-29/조영환"
"대지중학교","yes","None","None","1","2025-10-29/조영환"
"양일중학교","yes","None","None","1","2025-10-29/임준호"
"백마중학교","yes","None","None","1","2025-10-29/임준호"
"한수중학교","yes","None","None","1","2025-10-29/임준호"
"대화중학교","yes","None","None","1","2025-10-29/임준호"
"장성중학교","yes","None","None","1","2025-10-29/임준호"
"덕이중학교","yes","None","None","1","2025-10-29/임준호"
"서문여자중학교","yes","None","None","1","2025-10-29/송훈재"
"동작중학교","yes","None","None","1","2025-10-29/송훈재"
"내곡중학교","yes","None","None","1","2025-10-29/송훈재"
"영동중학교","yes","None","None","1","2025-10-29/송훈재"
"원촌중학교","yes","None","None","1","2025-10-29/송훈재"
"화성신동중학교","yes","None","None","1","2025-10-29/송훈재"
"과천율목중학교","yes","None","None","1","2025-10-29/조영환"
"백운중학교","yes","None","None","1","2025-10-29/조영환"
"갈뫼중학교","yes","None","None","1","2025-10-29/조영환"
"태평중학교","yes","None","None","1","2025-10-29/조영환"
"성남동중학교","yes","None","None","1","2025-10-29/조영환"
"대원중학교","yes","None","None","1","2025-10-29/조영환"
"금광중학교","yes","None","None","1","2025-10-29/조영환"
"숭신여자중학교","yes","None","None","1","2025-10-29/조영환"
"도촌중학교","yes","None","None","1","2025-10-29/조영환"
"문산수억중학교","yes","None","None","1","2025-10-29/송훈재"
"문산동중학교","yes","None","None","1","2025-10-29/송훈재"
"문산북중학교","yes","None","None","1","2025-10-29/송훈재"
"문산중학교","yes","None","None","1","2025-10-29/송훈재"
"교하중학교","yes","None","None","1","2025-10-29/송훈재"
"두일중학교","yes","None","None","1","2025-10-29/송훈재"
"천왕중학교","yes","None","None","1","2025-10-29/임준호"
"영남중학교","yes","None","None","1","2025-10-29/임준호"
"서울삼광초등학교","yes","None","None","1","2025-10-29/임준호"
"신광초등학교","yes","None","None","1","2025-10-29/임준호"
"신광여자중학교","yes","None","None","1","2025-10-29/임준호"
"선린중학교","yes","None","None","1","2025-10-29/임준호"
"마장중학교","yes","None","None","1","2025-10-29/조영환"
"설봉중학교","yes","None","None","1","2025-10-29/조영환"
"이천양정여자중학교","yes","None","None","1","2025-10-29/조영환"
"송정중학교","yes","None","None","1","2025-10-29/조영환"
"증포중학교","yes","None","None","2","2025-10-29/조영환 | 2025-10-29/임준호"
"효양중학교","yes","None","None","1","2025-10-29/조영환"
"성서중학교","yes","None","None","1","2025-10-29/송훈재"
"향동중학교","yes","None","None","1","2025-10-29/송훈재"
"행신중학교","yes","None","None","1","2025-10-29/송훈재"
"신원중학교","yes","None","None","1","2025-10-29/송훈재"
"부발중학교","yes","None","None","1","2025-10-29/임준호"
"이천사동중학교","yes","None","None","1","2025-10-29/임준호"
"여주제일중학교","yes","None","None","1","2025-10-29/임준호"
"여주중학교","yes","None","None","1","2025-10-29/임준호"
"솔뫼중학교","yes","None","None","1","2025-10-29/임준호"
"부용중학교","yes","None","None","1","2025-10-29/임준호"
"송양중학교","yes","None","None","1","2025-10-29/임준호"
"천보중학교","yes","None","None","1","2025-10-29/임준호"
"신곡중학교","yes","None","None","1","2025-10-29/임준호"
"서라벌고등학교","yes","None","None","1","2025-10-29/조영환"
"상계중학교","yes","None","None","1","2025-10-29/조영환"
"중계중학교","yes","None","None","1","2025-10-29/조영환"
"재현중학교","yes","None","None","1","2025-10-29/조영환"
"상원중학교","yes","None","None","1","2025-10-29/조영환"
