시도교육청,교육지원청,지역,정보공시학교코드,학교명,학교급코드,설립구분,주야간,제외여부,제외사유,1학년학급수,1학년학생수,1학년학급당학생수,2학년학급수,2학년학생수,2학년학급당학생수,3학년학급수,3학년학생수,3학년학급당학생수,특수학급학급수,특수학급학생수,특수학급학급당학생수,순회학급학급수,순회학급학생수,순회학급학급당학생수,학급수계,학생수계,학급당학생수계,교사수계,수업교원1인당학생수,학교급,담당자,학교특성,특성화고 구분,특성화고 담당자
경기도교육청,경기도안양과천교육지원청,경기도과천시,S090000472,과천고등학교,4,공립,주간,N,,8,176,22,8,162,20.3,8,177,22.1,2,12,6,0,0,0,26,527,20.3,53,9.9,고등,송훈재,일반고등학교,,
경기도교육청,경기도안양과천교육지원청,경기도과천시,S090003014,과천문원중학교,3,공립,주간,N,,13,401,30.8,12,355,29.6,13,381,29.3,1,4,4,0,0,0,39,1141,29.3,68,16.8,중등,송훈재,,,
경기도교육청,경기도안양과천교육지원청,경기도과천시,S090000473,과천여자고등학교,4,사립,주간,N,,6,97,16.2,6,108,18,6,98,16.3,0,0,0,0,0,0,18,303,16.8,35,8.7,고등,송훈재,일반고등학교,,
경기도교육청,경기도안양과천교육지원청,경기도과천시,S090000474,과천외국어고등학교,4,사립,주간,N,,10,246,24.6,10,231,23.1,10,213,21.3,0,0,0,0,0,0,30,690,23,53,13,고등,송훈재,특수목적고등학교,,송훈재
경기도교육청,경기도안양과천교육지원청,경기도과천시,S090007679,과천율목중학교,3,공립,주간,N,,5,154,30.8,5,140,28,2,43,21.5,1,4,4,0,0,0,13,341,26.2,23,14.8,중등,송훈재,,,
경기도교육청,경기도안양과천교육지원청,경기도과천시,S090000475,과천중앙고등학교,4,공립,주간,N,,8,182,22.8,8,181,22.6,8,171,21.4,1,7,7,0,0,0,25,541,21.6,48,11.3,고등,송훈재,일반고등학교,,
경기도교육청,경기도안양과천교육지원청,경기도과천시,S090003016,과천중학교,3,공립,주간,N,,9,244,27.1,10,286,28.6,10,290,29,2,7,3.5,0,0,0,31,827,26.7,54,15.3,중등,송훈재,,,
경기도교육청,경기도광명교육지원청,경기도광명시,S090001188,가림중학교,3,공립,주간,N,,5,148,29.6,6,151,25.2,6,157,26.2,2,13,6.5,0,0,0,19,469,24.7,33,14.2,중등,송훈재,,,
경기도교육청,경기도광명교육지원청,경기도광명시,S090000483,경기항공고등학교,4,사립,주간,N,,4,79,19.8,4,56,14,4,65,16.3,0,0,0,0,0,0,12,200,16.7,26,7.7,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
경기도교육청,경기도광명교육지원청,경기도광명시,S090001189,광남중학교,3,공립,주간,N,,10,276,27.6,8,231,28.9,9,253,28.1,2,12,6,0,0,0,29,772,26.6,49,15.8,중등,송훈재,,,
경기도교육청,경기도광명교육지원청,경기도광명시,S090000482,광명고등학교,4,공립,주간,N,,11,286,26,11,285,25.9,11,296,26.9,2,13,6.5,0,0,0,35,880,25.1,67,13.1,고등,송훈재,일반고등학교,,
